"pd_location","signal_width","rise_time","fall_time","peak_voltage","polarity","mean","rms","sd","Skewness","kurtosis","crest","formFactor","MainFreq","phase_angle","T","W","pC","pd_class"
1181145,15,7,8,0.004754702,1,0.002916811,0.003382446,0.001768813,0.4998328,1.769901,1.405699,1.159638,0,212.6061,23.50644,9.52454,93.33796,"1"
402296,16,7,9,0.003906512,-1,0.002328783,0.002700951,0.001410283,0.3609281,1.679311,1.446347,1.159812,0,72.41328,23.38393,8.401376,79.17862,"1"
172171,16,7,9,0.003243998,-1,0.001973069,0.002257756,0.001131256,0.3859585,1.673941,1.436824,1.144287,0,30.99078,23.88391,8.189643,67.08435,"1"
1069240,16,7,9,0.003641277,1,0.002197277,0.002543904,0.001321414,0.4300424,1.707349,1.431373,1.157753,0,192.4632,24.02506,8.797425,74.70743,"1"
1149943,16,7,9,0.002954372,1,0.001752817,0.002016729,0.001028107,0.3662463,1.728088,1.464933,1.150564,0,206.9897,24.03001,7.806485,59.59578,"1"
977358,16,7,9,0.003444611,1,0.002152691,0.002473733,0.001256226,0.5207709,1.744828,1.392475,1.149135,0,175.9244,24.4687,9.31603,73.19151,"1"
1265900,16,7,9,0.002859325,1,0.001737285,0.002013317,0.001048803,0.4960668,1.734009,1.420206,1.158887,0,227.862,24.49332,8.790007,59.0677,"1"
1386173,16,7,9,0.004280885,1,0.002509455,0.002882512,0.001461927,0.3593465,1.751134,1.485123,1.14866,0,249.5111,25.29385,7.717038,85.32148,"1"
977261,17,8,9,0.003919535,1,0.002300092,0.002639452,0.00133225,0.2803728,1.712348,1.48498,1.147542,0,175.907,25.33981,6.796663,82.80332,"1"
300337,16,7,9,0.002422095,-1,0.001495134,0.001691721,0.000815873,0.4516422,1.816795,1.431735,1.131484,0,54.06066,25.5074,7.29923,50.83457,"1"
520925,17,8,9,0.006684472,-1,0.003707117,0.004323681,0.002289709,0.1808192,1.640715,1.546014,1.166319,0,93.7665,26.68556,7.083152,133.4562,"1"
1096253,16,6,10,0.004162643,1,0.002448052,0.002788365,0.001376008,0.3004289,1.759205,1.492862,1.139014,0,197.3255,23.62307,7.700431,83.23376,"1"
221341,16,6,10,0.003069463,-1,0.001872179,0.00215599,0.00110213,0.4850543,1.746219,1.42369,1.151594,0,39.84138,23.87207,8.910144,63.6541,"1"
1214585,17,7,10,0.003807347,1,0.00212311,0.002492789,0.001344164,0.2734078,1.664239,1.527344,1.174122,0,218.6253,25.82355,7.51285,76.43194,"1"
320132,17,7,10,0.003732986,-1,0.002260557,0.002542192,0.001196741,0.3834007,1.95086,1.468413,1.124587,0,57.62376,27.12565,6.649887,81.38004,"1"
1012573,16,5,11,0.002818271,1,0.001716301,0.001978448,0.001014448,0.374861,1.713311,1.424485,1.15274,0,182.2631,23.78883,7.985206,58.35423,"1"
104547,16,5,11,0.002417454,-1,0.001502337,0.001715465,0.00085362,0.4902423,1.872419,1.409213,1.141864,0,18.81846,24.04867,8.004465,51.07945,"1"
1104542,17,6,11,0.002375453,1,0.001348908,0.001554892,0.000795814,0.2335294,1.753088,1.527729,1.152704,0,198.8176,25.0057,6.986493,48.56068,"1"
50442,18,5,13,0.000805599,-1,0.000458757,0.000534142,0.000281084,0.3926547,1.87419,1.508211,1.164325,0,9.07956,26.20939,8.401024,17.43277,"1"
959052,14,7,7,0.003106359,1,0.002028355,0.002280479,0.001078868,0.6823215,2.031699,1.362152,1.124299,0,172.6294,23.76565,9.290979,60.85066,"1"
